Entity_ID,Tx_Count,Address_Count,Total_Received,Total_Sent,Balance
Cluster_99,382,73,1532.4805979,1530.9532683099999,1.5273295900001358
Cluster_9,78,1,1.45825149,1.43313958,0.025111910000000126
Cluster_14,38,1,0.82986185,1.1622961,-0.33243425000000004
Cluster_3,31,9,28.99097932,32.91463135,-3.9236520299999995
Cluster_21,15,323,1.3700120199999999,30.30201265,-28.93200063
Cluster_250,12,1,30.0,62.0,-32.0
Cluster_18,10,6,4.39218997,2.56605972,1.8261302500000003
Cluster_6,8,5,0.0,501.611,-501.611
Cluster_15,7,22,16.030240000000003,37.02351401,-20.993274009999997
Cluster_67,7,3,14.602049999999998,13.51465,1.0873999999999988
Cluster_61,7,5,7.703,3.3689999999999998,4.3340000000000005
Cluster_70,6,7,2.77765,4.17500389,-1.3973538900000002
Cluster_599,6,4,6.332,6.324999999999999,0.007000000000000561
Cluster_39,6,4,2.3572431,5.87393457,-3.5166914700000005
Cluster_284,6,1,0.000153,0.0,0.000153
Cluster_17,6,4,10.61372,3.76472,6.849
Cluster_181,6,1,7.5086441399999995,9.36782614,-1.8591820000000006
Cluster_5,5,8,0.0,300.48768793,-300.48768793
Cluster_84,5,2,1.29953994,1.29422409,0.005315850000000122
Cluster_504,4,3,1.60315976,1.77292496,-0.16976520000000006
Cluster_574,4,2,5.414499999999999,12.296,-6.8815
Cluster_10,4,2,17.5,20.63,-3.129999999999999
Cluster_550,4,1,0.9468590299999999,0.94397015,0.0028888799999999826
Cluster_588,4,2,4.8745,6.827,-1.9524999999999997
Cluster_182,4,1,5.39360733,3.04975725,2.34385008
Cluster_164,4,1,16.3220962,9.53078484,6.79131136
Cluster_28,4,3,0.27047389,0.27097389,-0.0005000000000000004
Cluster_34,4,3,0.79143805,1.76743805,-0.976
Cluster_157,4,4,24.4845,25.4865,-1.001999999999999
Cluster_121,3,1,50.0,150.00900000000001,-100.00900000000001
Cluster_4,3,4,4.96458635,5.01627877,-0.05169242000000018
Cluster_418,3,1,0.00068,0.0,0.00068
Cluster_423,3,1,0.0005200000000000001,0.0,0.0005200000000000001
Cluster_420,3,2,7.562799999999999,7.562799999999999,0.0
Cluster_422,3,1,0.00112,0.0,0.00112
Cluster_590,3,3,3.336,5.827,-2.491
Cluster_638,3,2,0.35838576,0.16569238,0.19269338
Cluster_402,3,1,0.0007199999999999999,0.0,0.0007199999999999999
Cluster_156,3,1,12.018650000000001,11.1385,0.8801500000000004
Cluster_274,3,1,33.17485078,33.18635078,-0.011499999999998067
Cluster_403,3,1,0.00054,0.0,0.00054
Cluster_363,3,1,0.0492815,0.04928149,1.0000000001675335e-08
Cluster_361,3,1,0.063153,0.06315299,9.999999994736442e-09
Cluster_359,3,1,0.07697557,0.07697556,9.999999994736442e-09
Cluster_365,3,1,0.039944,0.03994399,1.0000000001675335e-08
Cluster_220,3,1,10.321250000000001,10.3185,0.0027500000000006963
Cluster_209,3,1,1.83323026,0.5,1.33323026
Cluster_227,3,1,8.19435,7.1185,1.07585
Cluster_226,3,1,7.2787500000000005,7.2785,0.00025000000000030553
Cluster_224,3,1,8.40075,8.3985,0.0022500000000000853
Cluster_223,3,1,9.664250000000001,9.6585,0.00575000000000081
Cluster_225,3,1,8.914349999999999,7.8385,1.075849999999999
Cluster_94,3,3,18.32458,18.42616,-0.10157999999999845
Cluster_86,2,2,2.0,2.00346993,-0.0034699300000000655
Cluster_80,2,2,18.325,18.425,-0.10000000000000142
Cluster_78,2,2,18.3305,18.430500000000002,-0.10000000000000142
Cluster_88,2,2,18.339,18.439,-0.10000000000000142
Cluster_90,2,2,18.34,18.44,-0.10000000000000142
Cluster_93,2,2,18.3325,18.4325,-0.10000000000000142
Cluster_96,2,2,18.3275,18.427500000000002,-0.10000000000000142
Cluster_79,2,2,18.3385,18.4385,-0.10000000000000142
Cluster_76,2,2,18.333,18.433,-0.10000000000000142
Cluster_74,2,2,18.3335,18.433500000000002,-0.10000000000000142
Cluster_75,2,2,18.329,18.429000000000002,-0.10000000000000142
Cluster_72,2,2,18.3255,18.425500000000003,-0.10000000000000142
Cluster_73,2,17,0.0,1221.2308410599999,-1221.2308410599999
Cluster_69,2,2,18.33,18.43,-0.10000000000000142
Cluster_7,2,2,18.3405,18.4405,-0.10000000000000142
Cluster_68,2,2,4.0,8.0,-4.0
Cluster_681,2,1,3.8600000000000003,0.0,3.8600000000000003
Cluster_641,2,1,27470.5934765,27470.5934765,0.0
Cluster_643,2,1,9448.90131975,9448.90131975,0.0
Cluster_645,2,1,27468.3829765,27468.3829765,0.0
Cluster_183,2,1,0.0155,5.0877,-5.0722
Cluster_16,2,4,1.0,52.68421516,-51.68421516
Cluster_162,2,1,132.99431192,132.99431192,0.0
Cluster_63,2,2,18.337,18.437,-0.10000000000000142
Cluster_62,2,2,18.326,18.426000000000002,-0.10000000000000142
Cluster_586,2,2,0.2670209,0.4267209,-0.1597
Cluster_59,2,1,1.7293644,2.01603985,-0.28667544999999994
Cluster_593,2,1,0.6615,0.6615,0.0
Cluster_60,2,2,18.3315,18.4315,-0.10000000000000142
Cluster_601,2,1,23.33291653,23.33291653,0.0
Cluster_578,2,1,0.68414926,0.0,0.68414926
Cluster_56,2,2,18.338,18.438000000000002,-0.10000000000000142
Cluster_561,2,1,9449.88514775,9449.88514775,0.0
Cluster_536,2,1,4.7087189,0.0,4.7087189
Cluster_540,2,1,11.96,0.0,11.96
Cluster_20,2,1,22.72983333,52.73183333,-30.002
Cluster_547,2,1,11.50396,11.50396,0.0
Cluster_55,2,8,0.1,10.011029470000002,-9.911029470000003
Cluster_553,2,1,27970.5939765,27970.5939765,0.0
Cluster_526,2,1,2.21316523,2.21316523,0.0
Cluster_53,2,2,18.3395,18.439500000000002,-0.10000000000000142
Cluster_52,2,2,18.3355,18.4355,-0.10000000000000142
Cluster_48,2,2,18.332,18.432000000000002,-0.10000000000000142
Cluster_465,2,1,11.50914,11.50914,0.0
Cluster_469,2,1,0.00016,0.0,0.00016
Cluster_47,2,2,18.327,18.427000000000003,-0.10000000000000142
Cluster_471,2,1,0.00048000000000000007,0.0,0.00048000000000000007
Cluster_472,2,1,11.50784,11.50784,0.0
Cluster_475,2,1,0.00016,0.0,0.00016
Cluster_476,2,1,11.50622,11.50622,0.0
Cluster_46,2,2,18.3365,18.436500000000002,-0.10000000000000142
Cluster_208,2,1,0.002,1.0,-0.998
Cluster_214,2,1,1.08157792,1.6025784,-0.5210004800000001
Cluster_19,2,8,0.0,3.1305199999999997,-3.1305199999999997
Cluster_191,2,1,61.97264239,61.97264239,0.0
Cluster_419,2,1,0.002,0.0,0.002
Cluster_42,2,5,8e-05,0.16410448,-0.16402448
Cluster_421,2,1,0.00039999999999999996,0.0,0.00039999999999999996
Cluster_115,2,1,28238.0411435,28238.0411435,0.0
Cluster_406,2,1,3.7839,3.7839,0.0
Cluster_407,2,1,0.0006,0.0,0.0006
Cluster_408,2,1,3.7831,3.7831,0.0
Cluster_41,2,5,0.1504,14.849039999999999,-14.69864
Cluster_413,2,1,0.00048000000000000007,0.0,0.00048000000000000007
Cluster_414,2,1,11.51164,11.51164,0.0
Cluster_398,2,1,3.7856,3.7856,0.0
Cluster_400,2,1,0.00034,0.0,0.00034
Cluster_401,2,1,0.0002,0.0,0.0002
Cluster_216,2,1,0.00175,1.4935,-1.4917500000000001
Cluster_217,2,1,0.007,1.87822,-1.87122
Cluster_218,2,1,0.00075,1.27155,-1.2708
Cluster_219,2,1,0.00025,0.17015,-0.1699
Cluster_221,2,1,1.66295,1.27155,0.39139999999999997
